TIME_ID;MONTH_ID;QTR_ID;YEAR_ID
1/6/2003;1;1;2003
1/9/2003;1;1;2003
1/10/2003;1;1;2003
1/29/2003;1;1;2003
1/31/2003;1;;2003
2/11/2003;2;1;2003
2/17/2003;2;1;2003
2/24/2003;2;1;2003
3/3/2003;3;1;2003
3/10/2003;3;1;2003
3/18/2003;3;1;2003
3/24/2003;3;1;2003
3/25/2003;3;1;2003
3/26/2003;3;1;2003
4/1/2003;4;2;2003
4/4/2003;4;2;2003
4/11/2003;4;2;2003
4/16/2003;4;2;2003
4/21/2003;4;2;2003
4/28/2003;4;2;2003
4/29/2003;4;2;
5/7/2003;5;2;2003
5/8/2003;5;2;2003
5/20/2003;5;2;2003
5/21/2003;5;2;2003
5/28/2003;5;2;2003
6/3/2003;6;2;2003
6/6/2003;6;2;2003
6/12/2003;6;2;2003
6/16/2003;6;2;2003
6/25/2003;6;2;2003
6/27/2003;6;2;2003
7/1/2003;7;3;2003
7/2/2003;7;3;2003
7/4/2003;7;3;2003
7/7/2003;7;3;2003
7/10/2003;7;3;2003
7/16/2003;7;3;2003
7/24/2003;7;3;2003
8/1/2003;8;3;2003
8/8/2003;8;3;2003
8/10/2003;8;3;2003
8/13/2003;8;3;2003
8/25/2003;8;3;2003
9/3/2003;9;3;2003
9/5/2003;9;3;2003
9/11/2003;9;3;2003
9/12/2003;9;3;2003
9/19/2003;9;3;2003
9/21/2003;9;3;2003
9/25/2003;9;3;2003
9/28/2003;9;3;2003
10/2/2003;10;4;2003
10/4/2003;10;4;2003
10/5/2003;10;4;2003
10/6/2003;10;4;2003
10/8/2003;10;4;2003
10/9/2003;10;4;2003
10/10/2003;10;4;2003
10/11/2003;10;4;2003
10/17/2003;10;4;2003
10/18/2003;10;4;2003
10/20/2003;10;4;2003
10/21/2003;10;4;2003
10/22/2003;10;4;2003
10/23/2003;10;4;2003
10/28/2003;10;4;2003
11/4/2003;11;4;2003
11/5/2003;11;4;2003
11/6/2003;11;4;2003
11/7/2003;11;4;2003
11/8/2003;11;4;2003
11/11/2003;11;4;2003
11/12/2003;11;4;2003
11/13/2003;11;4;2003
11/14/2003;11;4;2003
11/15/2003;11;4;2003
11/18/2003;11;4;2003
11/19/2003;11;4;2003
11/20/2003;11;4;2003
11/21/2003;11;4;2003
11/25/2003;11;4;2003
11/26/2003;11;4;2003
11/27/2003;11;4;2003
12/1/2003;12;4;2003
12/2/2003;12;4;2003
12/3/2003;12;4;2003
12/5/2003;12;4;2003
12/9/2003;12;4;2003
1/2/2004;1;1;2004
1/9/2004;1;1;2004
1/12/2004;1;1;2004
1/15/2004;1;1;2004
1/16/2004;1;1;2004
1/22/2004;1;1;2004
1/26/2004;1;1;2004
1/29/2004;1;1;2004
2/2/2004;2;1;2004
2/4/2004;2;1;2004
2/9/2004;2;1;2004
2/10/2004;2;1;2004
2/12/2004;2;1;2004
2/18/2004;2;1;2004
2/19/2004;2;1;2004
2/20/2004;2;1;2004
2/21/2004;2;1;2004
2/22/2004;2;1;2004
2/26/2004;2;1;2004
3/2/2004;3;1;2004
3/10/2004;3;1;2004
3/11/2004;3;1;2004
3/15/2004;3;1;2004
3/19/2004;3;1;2004
3/20/2004;3;1;2004
3/29/2004;3;1;2004
3/30/2004;3;1;2004
4/2/2004;4;2;2004
4/3/2004;4;2;2004
4/5/2004;4;2;2004
4/9/2004;4;2;2004
4/12/2004;4;2;2004
4/13/2004;4;2;2004
4/20/2004;4;2;2004
4/26/2004;4;2;2004
4/29/2004;4;2;2004
5/4/2004;5;2;2004
5/5/2004;5;2;2004
5/7/2004;5;2;2004
5/8/2004;5;2;2004
5/11/2004;5;2;2004
5/18/2004;5;2;2004
5/26/2004;5;2;2004
6/1/2004;6;2;2004
6/3/2004;6;2;2004
6/4/2004;6;2;2004
6/8/2004;6;2;2004
6/14/2004;6;2;2004
6/15/2004;6;2;2004
6/16/2004;6;2;2004
6/17/2004;6;2;2004
6/24/2004;6;2;2004
6/28/2004;6;2;2004
6/30/2004;6;2;2004
7/2/2004;7;3;2004
7/6/2004;7;3;2004
7/7/2004;7;3;2004
7/12/2004;7;3;2004
7/16/2004;7;3;2004
7/19/2004;7;3;2004
7/20/2004;7;3;2004
7/21/2004;7;3;2004
7/23/2004;7;3;2004
8/2/2004;8;3;2004
8/4/2004;8;3;2004
8/6/2004;8;3;2004
8/9/2004;8;3;2004
8/17/2004;8;3;2004
8/19/2004;8;3;2004
8/20/2004;8;3;2004
8/21/2004;8;3;2004
8/27/2004;8;3;2004
8/28/2004;8;3;2004
8/30/2004;8;3;2004
9/1/2004;9;3;2004
9/3/2004;9;3;2004
9/7/2004;9;3;2004
9/8/2004;9;3;2004
9/9/2004;9;3;2004
9/10/2004;9;3;2004
9/15/2004;9;3;2004
9/16/2004;9;3;2004
9/27/2004;9;3;2004
9/30/2004;9;3;2004
10/6/2004;10;4;2004
10/11/2004;10;4;2004
10/13/2004;10;4;2004
10/14/2004;10;4;2004
10/15/2004;10;4;2004
10/16/2004;10;4;2004
10/21/2004;10;4;2004
10/22/2004;10;4;2004
10/29/2004;10;4;2004
11/1/2004;11;4;2004
11/2/2004;11;4;2004
11/3/2004;11;4;2004
11/4/2004;11;4;2004
11/5/2004;11;4;2004
11/9/2004;11;4;2004
11/10/2004;11;4;2004
11/12/2004;11;4;2004
11/15/2004;11;4;2004
11/16/2004;11;4;2004
11/17/2004;11;4;2004
11/18/2004;11;4;2004
11/19/2004;11;4;2004
11/20/2004;11;4;2004
11/21/2004;11;4;2004
11/22/2004;11;4;2004
11/23/2004;11;4;2004
11/24/2004;11;4;2004
11/25/2004;11;4;2004
11/29/2004;11;4;2004
12/1/2004;12;4;2004
12/2/2004;12;4;2004
12/3/2004;12;4;2004
12/4/2004;12;4;2004
12/7/2004;12;4;2004
12/9/2004;12;4;2004
12/10/2004;12;4;2004
12/15/2004;12;4;2004
12/16/2004;12;4;2004
12/17/2004;12;4;2004
1/5/2005;1;1;2005
1/6/2005;1;1;2005
1/7/2005;1;1;2005
1/10/2005;1;1;2005
1/12/2005;1;1;2005
1/19/2005;1;1;2005
1/20/2005;1;1;2005
1/23/2005;1;1;2005
1/26/2005;1;1;2005
1/31/2005;1;1;2005
2/2/2005;2;1;2005
2/3/2005;2;1;2005
2/8/2005;2;1;2005
2/9/2005;2;1;2005
2/10/2005;2;1;2005
2/16/2005;2;1;2005
2/17/2005;2;1;2005
2/22/2005;2;1;2005
2/23/2005;2;1;2005
2/28/2005;2;1;2005
3/1/2005;3;1;2005
3/2/2005;3;1;2005
3/3/2005;3;1;2005
3/4/2005;3;1;2005
3/9/2005;3;1;2005
3/10/2005;3;1;2005
3/11/2005;3;1;2005
3/15/2005;3;1;2005
3/17/2005;3;1;2005
3/23/2005;3;1;2005
3/28/2005;3;1;2005
3/30/2005;3;1;2005
4/1/2005;4;2;2005
4/3/2005;4;2;2005
4/7/2005;4;2;2005
4/8/2005;4;2;2005
4/14/2005;4;2;2005
4/15/2005;4;2;2005
4/22/2005;4;2;2005
4/23/2005;4;2;2005
4/29/2005;4;2;2005
5/1/2005;5;2;2005
5/3/2005;5;2;2005
5/5/2005;5;2;2005
5/6/2005;5;2;2005
5/9/2005;5;2;2005
5/10/2005;5;2;2005
5/13/2005;5;2;2005
5/16/2005;5;2;2005
5/17/2005;5;2;2005
5/29/2005;5;2;2005
5/30/2005;5;2;2005
5/31/2005;5;2;2005
